V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t5	-0.302	1.327	-0.628	0.453	-0.52	2.301	-0.574	-1.975	-0.34	-1.754	-0.138	-2.483	0.87	-0.641	-0.971	-0.753	-0.73	2.127	0.679	-0.129	1.755	-0.636	0.728	-0.864	1.341	0.166	0.571	0.236	-1.207	2.091
t1	-0.985	-0.112	-0.968	0.514	-0.122	2.22	-0.037	-1.334	-0.246	-1.799	-0.139	-2.612	0.998	-0.906	-0.901	1.483	-0.483	2.043	0.711	-0.639	2.141	-0.302	0.212	-0.913	1.569	0.323	0.854	-0.563	-1.332	1.324
t113	-2.524	-0.512	2.008	-1.922	-2.21	2.4	-0.396	0.574	0.746	-0.345	-1.298	-0.362	1.38	1.415	-0.264	-1.166	0.16	2.53	1.604	-0.301	0.055	-1.555	-0.069	-0.965	0.522	-0.988	-1.119	-0.089	2.228	0.458
t41	-1.782	0.529	2.42	-3.005	-3.115	2.535	-1.072	0.279	1.725	-0.711	-1.667	0.791	1.789	1.028	-0.224	-0.58	0.331	2.743	1.668	0.52	-0.435	-1.861	-0.499	-0.998	0.614	-1.184	-1.565	-0.665	2.497	-0.111
t27	-2.615	-0.606	2.662	-2.921	-2.912	2.528	-0.643	1.15	1.559	-0.077	-1.683	0.846	1.506	1.289	-0.098	0.21	0.541	2.734	1.913	-0.013	-0.213	-1.867	-0.711	-1.081	0.802	-1.164	-1.665	-1.548	3.032	-0.967
t188	-2.797	-0.233	1.087	-1.576	-1.668	2.368	-0.169	0.301	0.896	-0.339	-1.063	0.097	0.839	0.376	-0.391	0.593	0.51	2.357	1.403	-0.188	0.882	-1.302	-0.135	-0.938	1.088	-0.539	-0.826	-2.25	1.422	0.194
t145	-1.995	0.098	-0.215	-0.735	-0.869	2.319	-0.373	-1.001	1.183	-1.507	-0.584	-1.007	1.523	-0.401	-0.636	0.855	0.045	2.32	0.986	-0.406	1.185	-0.851	0.366	-0.805	1.117	-0.007	-0.078	-1.54	0.129	0.881
t108	-1.339	2.014	0.17	-1.252	-0.916	2.369	-0.207	-0.928	0.929	-2.55	-0.838	-1.258	2.474	-0.666	-0.638	1.194	-0.088	2.227	1.066	0.001	1.049	-0.737	-0.247	-1.098	0.765	-0.344	-0.379	-1.363	-0.348	0.934
t117	-1.427	0.261	1.972	-2.388	-3.167	2.393	-0.886	0.097	0.504	-0.219	-1.584	0.115	1.526	0.835	-0.416	-0.928	0.306	2.441	1.46	0.503	-0.021	-2.017	-0.259	-1.048	0.639	-0.889	-1.023	0.362	1.791	1.059
t12	-1.086	0.896	-0.428	0.452	-0.657	2.269	-0.22	-1.409	-0.594	-1.203	-0.251	-1.893	0.144	-0.731	-0.916	0.23	-0.459	2.048	0.86	0.002	1.949	-0.67	0.499	-0.911	1.676	-0.005	0.361	-0.9	-0.804	1.748
t144	-0.163	1.808	-1.319	0.898	0.169	2.27	-0.379	-2.448	-0.134	-2.919	0.089	-3.066	1.18	-1.33	-1.071	0.611	-1.036	2.056	0.542	-0.116	2.072	-0.043	0.621	-0.876	1.551	0.262	0.828	-0.116	-1.981	2.032
t36	-0.913	0.742	-0.247	-0.286	-0.983	2.243	-0.376	-1.321	0.204	-2.555	-0.641	-2.095	1.86	-0.886	-0.817	1.801	-0.761	2.182	1.02	-0.054	1.197	-0.526	-0.024	-1.033	1.351	-0.342	0.078	0.268	-0.461	1.371
t193	-0.077	1.678	-1.377	0.387	-0.222	2.227	-0.587	-2.48	0.333	-3.533	-0.234	-2.782	2.469	-1.822	-1.059	2.289	-1.109	2.123	0.702	-0.217	1.596	-0.213	0.316	-0.999	1.459	0.119	0.576	0.299	-1.709	1.84
t134	-1.622	-1.518	1.832	-1.301	-2.576	2.318	-0.763	0.316	-0.527	0.848	-1.212	-0.379	-0.365	1.325	-0.453	-1.123	0.128	2.358	1.33	-0.022	0.801	-1.712	-0.092	-0.912	1.315	-0.746	-0.621	0.663	1.808	0.899
t81	-1.888	-1.804	1.674	-1.185	-2.506	2.26	-0.58	0.309	-0.463	0.841	-1.231	-0.192	-0.326	1.046	-0.488	-0.145	0.209	2.315	1.323	-0.092	0.947	-1.739	-0.268	-0.958	1.481	-0.847	-0.608	0.441	1.673	0.795
t155	-1.988	-0.596	2.985	-3.009	-3.66	2.514	-1.154	0.806	1.281	0.231	-1.766	0.817	0.925	1.801	-0.158	-1.568	0.316	2.78	1.762	0.589	-0.571	-2.106	-0.385	-0.927	0.768	-1.331	-1.595	0.188	3.178	-0.136
t3	-1.83	-0.105	2.918	-3.035	-3.793	2.522	-1.109	0.718	1.393	-0.018	-1.759	0.782	1.022	1.536	-0.22	-1.329	0.265	2.761	1.757	0.876	-0.551	-2.108	-0.452	-0.977	0.868	-1.388	-1.547	0.076	2.899	-0.185
t191	0.144	2.762	-1.603	0.656	0.579	2.336	-0.557	-2.958	0.865	-4.071	0.147	-3.056	2.241	-1.798	-1.074	1.343	-1.195	2.193	0.487	-0.189	1.916	0.18	0.49	-0.902	1.416	0.25	0.688	-0.536	-2.34	1.575
t7	0.053	2.319	-1.366	0.615	0.483	2.296	-0.448	-2.603	0.423	-3.769	0.06	-3.196	2.103	-1.436	-1.036	1.03	-1.18	2.139	0.513	-0.308	1.91	0.136	0.374	-0.928	1.316	0.17	0.697	0.086	-2.176	1.715
t109	-2.889	-0.253	2.85	-2.594	-4.302	2.233	-0.359	1.392	-0.868	1.683	-2.3	2.344	-0.102	0.19	-0.411	2.319	0.984	2.132	2.041	1.065	0.387	-2.84	-1.03	-1.441	1.699	-1.721	-2.076	-1.794	3.032	0.609
t100	-2.259	0.344	1.75	-1.944	-3.137	2.263	-0.424	0.583	-0.639	0.419	-1.78	1.05	0.556	-0.302	-0.529	2.312	0.563	2.105	1.736	0.636	0.771	-2.117	-0.634	-1.331	1.612	-1.054	-1.452	-1.809	1.925	0.776
t169	-3.111	-0.962	3.962	-3.498	-4.451	2.394	-0.816	1.455	0.717	1.873	-2.325	2.594	0.272	2.24	-0.072	-1.509	1.085	2.656	1.974	0.68	-0.679	-3.086	-0.802	-1.107	0.681	-2.141	-2.4	0.035	4.07	0.229
t171	-2.973	-0.387	3.455	-3.379	-3.941	2.45	-0.767	1.205	1.263	0.858	-2.116	2.187	0.704	1.681	-0.107	-0.509	0.87	2.701	1.955	0.7	-0.535	-2.597	-0.843	-1.1	0.859	-1.933	-2.231	-0.786	3.596	-0.3
t18	-2.375	-0.328	3.609	-3.687	-4.479	2.459	-1.133	1.141	0.864	1.117	-2.297	2.335	0.489	1.644	-0.131	-0.58	0.965	2.663	1.889	1.051	-0.602	-2.769	-0.892	-1.08	0.949	-1.821	-2.192	-0.483	3.621	0.025
t35	-2.312	-0.963	3.419	-2.998	-4.78	2.337	-1.092	0.931	-0.118	2.101	-2.223	2.253	-0.34	1.582	-0.301	-1.123	0.929	2.492	1.799	1.122	-0.326	-3.112	-0.542	-1.072	1.194	-1.786	-1.897	0.388	3.47	0.939
t9	-2.234	-0.005	1.021	-0.783	-2.409	2.223	-0.247	-0.179	-0.437	0.395	-1.082	0.026	-0.215	0.039	-0.707	0.296	0.216	2.131	1.314	0.492	1.179	-1.805	0.144	-1.05	1.64	-0.859	-0.639	-0.802	0.951	1.384
t124	-2.338	0.775	1.396	-1.577	-2.212	2.345	-0.283	0.106	0.607	-0.766	-1.21	-0.006	0.867	0.292	-0.516	0.444	0.12	2.337	1.465	0.46	0.671	-1.486	-0.193	-1.076	1.251	-1.057	-1.043	-1.142	1.255	0.508
