feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t164	0.318	1.238	0.447	0.789	1.584	-0.192	-2.519	-0.616	-0.783	-1.816	0.654	-1.205	-0.308	-0.417	0.76	-0.527	-1.307	0.647	-1.175	0.876	0.807	-0.193	1.18	-0.664	1.278	1.435	0.366	-0.14	-1.257	0.733
t81	-0.006	1.099	0.522	1	1.013	-0.107	-1.484	-0.57	-0.457	-2.545	0.731	-0.72	-0.682	-1.12	0.858	-0.821	-1.114	0.746	-1.58	0.452	0.766	-0.481	1.25	0.582	0.502	1.673	0.615	-0.3	-0.75	0.918
t190	-0.429	1.224	0.485	1.042	1.096	-0.202	-1.733	-0.148	-0.656	-2.395	0.648	-0.986	-0.174	-0.89	0.692	-0.715	-1.235	0.576	-1.565	0.552	0.813	-0.4	1.195	0.606	0.955	1.542	0.505	-0.254	-0.925	0.766
t56	-0.342	1.091	0.892	1.088	1.162	0.046	-1.379	-1.303	-0.462	-2.051	0.694	-1.385	-0.612	-1.274	0.929	-0.928	-1.394	0.689	-1.222	0.522	0.991	-0.28	1.373	0.091	0.828	1.585	0.706	-0.23	-0.703	0.871
t70	0.167	1.017	0.362	0.785	1.684	-0.061	-2.189	-0.492	-0.955	-1.83	0.652	-0.887	-0.718	-0.578	0.82	-0.528	-1.689	0.626	-1.312	0.66	0.693	-0.244	1.48	-0.102	1.205	1.441	0.491	-0.177	-1.064	0.733
t24	-0.451	1.086	0.801	1.193	1.272	0.133	-1.452	-0.618	-0.665	-2.043	0.757	-1.29	-1.018	-1.231	0.904	-0.414	-2.02	0.638	-1.826	0.221	1.066	-0.359	1.841	0.329	0.649	1.61	1.013	-0.156	-0.849	0.871
t32	-0.076	1.234	0.731	1.011	1.183	-0.001	-1.349	-1.401	-0.376	-2.074	0.772	-1.304	-1.143	-1.03	0.929	-0.579	-1.645	0.873	-1.544	0.392	1.192	-0.358	1.634	0.323	0.617	1.593	0.869	-0.218	-1.139	0.886
t101	0.36	1.404	0.724	0.937	0.942	-0.152	-1.714	-1.193	-0.07	-2.508	0.755	-1.231	-0.652	-1.303	0.908	-0.797	-0.834	1.001	-1.377	0.634	1.219	-0.425	1.064	-0.09	0.413	1.677	0.62	-0.257	-1.004	0.951
t29	-1.272	1.215	0.946	1.085	1.102	0.074	-1.316	0.485	-0.739	-1.765	0.683	-1.258	-0.345	-1.424	0.797	-0.537	-1.751	0.134	-1.503	0.236	0.832	-0.245	1.527	0.107	0.908	1.497	0.593	-0.155	-0.688	0.771
t112	0.452	1.074	0.479	0.873	1.567	-0.147	-2.358	-0.663	-0.802	-2.06	0.669	-0.92	-0.366	-0.644	0.824	-0.797	-1.142	0.64	-1.115	0.842	0.748	-0.252	1.042	-0.76	1.13	1.539	0.357	-0.158	-0.886	0.824
