V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t82	-2.931	-2.532	-6.076	-5.661	-3.788	-4.827	-3.869	-5.429	-3.997	-3.726	-4.945	-4.975	-5.569	-3.804	-6.708	-3.812	-4.581	-3.349	-2.598	-4.81	-3.355	-1.19	-3.33	-4.538	-3.296	-4.366	-3.91	-2.419	-3.908	-4.954
t184	-4.189	-3.664	-3.695	-4.693	-4.739	-2.713	-3.89	-4.47	-2.346	-4.588	-6.246	-3.552	-3.627	-4.203	-3.323	-7.587	-2.892	-1.943	-3.981	-6.212	-6.25	-3.197	-3.284	-4.2	-7.332	-4.329	-5.529	-4.685	-3.269	-1.497
t174	-4.602	-4.813	-3.982	-5.541	-6.201	-2.714	-4.924	-4.701	-3.565	-5.342	-7.281	-3.343	-3.71	-5.019	-2.664	-9.774	-2.394	-1.365	-4.851	-8.023	-8.37	-4.349	-3.923	-4.668	-9.235	-4.911	-7.303	-6.061	-3.427	-1.33
t17	-4.025	-2.351	-4.953	-4.684	-3.068	-4.212	-2.998	-5.16	-2.645	-3.756	-5.085	-5.079	-5.005	-3.639	-6.27	-3.964	-4.935	-4.003	-3.154	-3.663	-2.932	-1.527	-3.176	-4.404	-4.308	-4.285	-3.521	-2.68	-4.031	-3.455
t40	-3.051	-2.566	-5.156	-5.244	-3.709	-4.008	-3.441	-4.829	-3.148	-3.491	-5.041	-4.324	-4.766	-3.823	-5.401	-4.717	-3.966	-2.519	-3.318	-4.646	-3.927	-1.5	-3.001	-4.148	-3.811	-4.044	-3.576	-2.784	-3.34	-3.629
t165	-3.946	-2.437	-4.805	-5.033	-2.85	-4.991	-3.566	-5.306	-3.928	-3.698	-5.25	-4.601	-4.995	-3.298	-6.326	-3.195	-4.693	-4.297	-3.797	-4.051	-2.561	-1.237	-3.325	-4.482	-5.324	-4.249	-3.514	-2.769	-4.432	-3.401
t92	-3.101	-2.53	-5.81	-5.719	-3.506	-5.226	-4.021	-5.485	-4.554	-3.67	-5.058	-4.746	-5.507	-3.622	-6.71	-3.338	-4.543	-3.683	-3.105	-4.773	-3.049	-1.046	-3.392	-4.574	-4.07	-4.34	-3.736	-2.496	-4.177	-4.668
t3	-3.145	-2.769	-4.938	-5.459	-3.14	-5.675	-4.703	-5.694	-2.728	-4.234	-5.352	-4.39	-5.034	-3.609	-6.086	-2.821	-4.528	-3.984	-4.124	-5.38	-3.016	-1.327	-3.371	-4.608	-4.144	-4.235	-2.154	-2.899	-4.441	-4.67
t39	-2.904	-3.07	-3.9	-5.228	-3.227	-5.817	-5.705	-5.68	-2.636	-4.843	-5.681	-3.362	-4.358	-3.267	-5.063	-2.607	-3.43	-3.948	-3.875	-6.879	-3.554	-1.407	-3.368	-4.513	-6.088	-4.091	-2.244	-3.451	-4.612	-4.135
t30	-2.6	-2.916	-4.826	-5.481	-4.201	-4.162	-4.444	-4.791	-4.573	-3.834	-5.33	-3.369	-4.426	-3.452	-4.754	-4.837	-2.784	-2.165	-2.791	-6.227	-4.591	-1.459	-3.138	-4.112	-5.737	-4.01	-4.844	-3.22	-3.453	-3.373
t94	-2.996	-2.744	-6.067	-5.555	-4.647	-3.3	-3.176	-4.687	-4.475	-3.413	-5.048	-4.663	-5.128	-4.055	-5.673	-6.095	-3.792	-1.895	-2.225	-4.859	-4.746	-1.76	-3.17	-4.22	-3.869	-4.312	-5.777	-2.839	-3.032	-3.786
t154	-3.929	-3.782	-3.476	-5.082	-4.657	-3.346	-4.498	-4.525	-3.358	-4.513	-6.402	-2.934	-3.522	-4.024	-3.067	-7.097	-2.441	-1.896	-4.633	-6.784	-6.231	-2.946	-3.354	-4.205	-8.192	-4.233	-5.256	-4.83	-3.45	-1.402
t14	-3.134	-3.778	-3.718	-5.333	-4.839	-3.672	-5.108	-4.66	-3.277	-4.647	-6.219	-2.696	-3.604	-3.98	-3.072	-6.607	-2.082	-1.595	-4.054	-7.581	-6.334	-2.655	-3.29	-4.168	-7.502	-4.131	-4.858	-4.605	-3.346	-2.25
t86	-4.41	-2.688	-4.021	-4.119	-3.32	-3.403	-3.031	-4.86	-1.549	-4.216	-5.464	-4.633	-4.263	-3.681	-5.114	-5.071	-4.36	-3.642	-3.242	-4.21	-3.818	-2.215	-3.108	-4.262	-5.549	-4.246	-4.012	-3.396	-3.834	-2.374
t130	-4.416	-2.575	-4.903	-4.257	-3.8	-2.784	-2.357	-4.732	-2.107	-3.916	-5.234	-5.261	-4.712	-3.973	-5.638	-5.936	-4.648	-3.264	-2.376	-3.662	-4.1	-2.272	-3.123	-4.281	-4.685	-4.415	-5.137	-3.115	-3.485	-2.654
t131	-3.959	-2.602	-7.01	-6.282	-3.332	-6.517	-4.088	-6.508	-4.848	-4.002	-5.239	-6.354	-6.841	-4.2	-8.781	-2.486	-6.45	-5.456	-3.641	-3.974	-2.185	-1.106	-4.026	-5.389	-3.147	-5.049	-3.162	-2.301	-5.221	-6.17
