"lambda","mu","rho","turnover","net_div","class","relative_mode","relative_median","cv","endpoint_ratio","trend","turnover_bin"
0.45,0.25,0.2,0.555555555555556,0.2,"Decaying",0.100290380761523,0.418895791583166,0.203016982440913,0.492062198278823,-0.507937801721177,"Med-High (0.5-0.75)"
0.5,0.25,0.2,0.5,0.25,"Decaying",0.162408416833667,0.400861523046092,0.255470777821957,0.406690458735765,-0.593309541264235,"Med-Low (0.25-0.5)"
0.3,0.3,0.2,1,-5.55111512312578e-17,"Decaying",1e-04,0.382827254509018,0.321076669502357,0.326530612244898,-0.673469387755102,"High (0.75-1)"
0.35,0.3,0.2,0.857142857142857,0.05,"Decaying",1e-04,0.402865330661323,0.229749454533442,0.452828854521344,-0.547171145478656,"High (0.75-1)"
0.4,0.3,0.2,0.75,0.1,"Decaying",1e-04,0.410880561122245,0.208881858405723,0.482092416069416,-0.517907583930584,"High (0.75-1)"
0.45,0.3,0.2,0.666666666666667,0.15,"Decaying",1e-04,0.410880561122245,0.214061709108745,0.469694157073403,-0.530305842926597,"Med-High (0.5-0.75)"
0.5,0.3,0.2,0.6,0.2,"Decaying",1e-04,0.400861523046092,0.243898702273864,0.41997434581377,-0.58002565418623,"Med-High (0.5-0.75)"
0.35,0.35,0.2,1,0,"Decaying",1e-04,0.370804408817635,0.310899489296056,0.346069205847751,-0.653930794152249,"High (0.75-1)"
0.4,0.35,0.2,0.875,0.05,"Decaying",1e-04,0.386834869739479,0.268518081988036,0.397014386189428,-0.602985613810572,"High (0.75-1)"
0.45,0.35,0.2,0.777777777777778,0.1,"Decaying",1e-04,0.394850100200401,0.249171594388852,0.419235138344148,-0.580764861655852,"High (0.75-1)"
0.5,0.35,0.2,0.7,0.15,"Decaying",1e-04,0.39284629258517,0.2543546282666,0.406342943564179,-0.593657056435821,"Med-High (0.5-0.75)"
0.4,0.4,0.2,1,0,"Decaying",1e-04,0.356777755511022,0.345312702264411,0.30869136,-0.69130864,"High (0.75-1)"
0.45,0.4,0.2,0.888888888888889,0.05,"Decaying",1e-04,0.372808216432866,0.305160886811454,0.350918309665299,-0.649081690334701,"High (0.75-1)"
0.5,0.4,0.2,0.8,0.1,"Decaying",1e-04,0.378819639278557,0.287138652148994,0.367916230955018,-0.632083769044982,"High (0.75-1)"
0.45,0.45,0.2,1,0,"Decaying",1e-04,0.344754909819639,0.378126975520811,0.27705817398892,-0.72294182601108,"High (0.75-1)"
0.5,0.45,0.2,0.9,0.05,"Decaying",1e-04,0.358781563126253,0.33994203753066,0.312408661258389,-0.687591338741611,"High (0.75-1)"
0.05,0,0.4,0,0.05,"Uniform",0.811642084168337,0.505059519038076,0.0120508913665142,1.0393324323994,0.0393324323994011,"Low (0-0.25)"
0.1,0,0.4,0,0.1,"Uniform",0.404869138276553,0.495040480961924,0.0226432295206498,0.954760910996287,-0.0452390890037126,"Low (0-0.25)"
0.15,0,0.4,0,0.15,"Unimodal",0.270614028056112,0.470994789579158,0.0790502838561019,0.782818435141987,-0.217181564858013,"Low (0-0.25)"
0.2,0,0.4,0,0.2,"Decaying",0.202484569138277,0.438933867735471,0.160257545521421,0.58444052128905,-0.41555947871095,"Low (0-0.25)"
0.25,0,0.4,0,0.25,"Decaying",0.162408416833667,0.400861523046092,0.255470777821957,0.406690458735765,-0.593309541264235,"Low (0-0.25)"
0.3,0,0.4,0,0.3,"Decaying",0.134355110220441,0.362789178356713,0.356775726781177,0.269408753837277,-0.730591246162723,"Low (0-0.25)"
0.35,0,0.4,0,0.35,"Decaying",0.116320841683367,0.328724448897796,0.458757301416558,0.172719074979107,-0.827280925020893,"Low (0-0.25)"
0.4,0,0.4,0,0.4,"Decaying",0.102294188376753,0.296663527054108,0.558144877504584,0.108424178132157,-0.891575821867843,"Low (0-0.25)"
0.45,0,0.4,0,0.45,"Decaying",0.0902713426853708,0.268610220440882,0.653219007389717,0.0671678309735671,-0.932832169026433,"Low (0-0.25)"
0.5,0,0.4,0,0.5,"Decaying",0.0802523046092184,0.244564529058116,0.743262026630149,0.0412695288935842,-0.958730471106416,"Low (0-0.25)"
0.05,0.05,0.4,1,0,"Decaying",1e-04,0.454964328657315,0.105716190496639,0.6944722225,-0.3055277775,"High (0.75-1)"
0.1,0.05,0.4,0.5,0.05,"Decaying",1e-04,0.458971943887776,0.097018243628131,0.714591530662091,-0.285408469337909,"Med-Low (0.25-0.5)"
0.15,0.05,0.4,0.333333333333333,0.1,"Decaying",1e-04,0.448952905811623,0.119897810461575,0.659016879285299,-0.340983120714701,"Med-Low (0.25-0.5)"
0.2,0.05,0.4,0.25,0.15,"Decaying",1e-04,0.428914829659319,0.171256747958549,0.549105426351646,-0.450894573648354,"Low (0-0.25)"
