feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t31	0.692	0.092	0.266	-2.362	-0.364	1.354	0.504	0.782	-2.527	1.918	-0.672	-1.517	-0.416	-0.633	1.229	1.389	0.046	0.287	0.298	1.02	0.256	-2.177	-1.191	-0.265	-0.05	2.285	-0.236	0.512	0.433	-0.955
t40	-0.014	-1.898	-0.454	-0.363	0.087	0.366	0.24	0.011	0.834	2.233	0.005	0.348	0.932	-1.442	3.093	-0.775	-0.335	1.849	-0.55	-1.398	0.063	2.802	-1.735	-1.749	-0.759	-0.085	0.415	-0.273	0.401	-1.851
t38	0.197	1.775	-0.637	3.658	-0.5	0.099	-1.527	-0.465	1.94	-0.035	-0.031	-1.4	2.24	-0.309	0.806	0.193	0.575	-0.079	-0.42	-1.654	0.067	-1.954	-0.831	1.185	-1.172	0.559	0.183	-0.123	-1.095	-1.244
t55	0.257	0.724	-0.632	3.955	-0.311	0.099	-1.464	-1.819	2.689	0.108	-0.2	-0.786	2.394	-0.106	0.763	0.129	0.425	-0.12	-0.464	-2.369	0.151	-0.841	-1.39	1.091	-0.964	-0.306	0.176	-0.271	-0.67	-0.249
t80	-0.174	-0.377	-0.272	1.915	-0.711	-0.207	-0.427	0.107	-0.465	1.39	0.6	0.019	0.675	-0.365	0.104	0.376	-0.401	1.098	0.009	-1.079	0.06	1.297	0.781	0.018	1.245	0.504	0.192	-0.091	0.008	-5.828
t23	0.15	-0.722	-0.565	0.954	-0.872	-0.536	-0.006	0.484	-0.554	1.259	0.878	0.269	0.879	-0.022	0.78	0.269	-0.272	1.702	-0.064	-1.061	-0.016	1.162	0.176	-0.144	1.158	-0.399	0.02	0.016	0.45	-5.373
t95	0.096	-0.85	-0.431	0.046	0	0.305	-0.549	0.722	1.698	1.849	0.085	0.35	0.907	-0.826	2.831	-0.672	0.001	0.616	-0.359	-1.358	0.217	2.206	-2.417	-1.443	-0.379	-0.258	-0.263	-0.034	0.158	-2.246
t94	0.17	-0.466	-0.275	-0.785	0.076	0.436	-0.273	0.478	-0.053	2.057	0.029	0.798	-0.317	-0.79	2.661	-0.791	-0.262	1.123	-0.219	-0.176	0.269	1.856	-2.166	-1.414	-0.007	0.211	0.062	0.185	0.354	-2.77
t10	0.105	-0.647	-0.571	0.051	0.332	0.672	0.052	0.609	1.148	1.996	-0.042	0.147	0.735	-1.318	1.828	-1.008	-0.324	1.323	-0.45	-0.782	-0.029	2.553	-2.139	-1.552	-0.434	0.252	-0.324	-0.256	0.309	-2.237
t83	-0.036	-0.123	-0.263	1.204	1.588	1.19	-0.379	0.917	0.17	-0.41	-1.322	-0.079	-0.94	-1.406	2.086	0.265	0.922	-0.173	0.275	-1.618	0.446	0.62	0.781	0.857	0.249	-0.853	-0.195	-0.282	0.267	-3.759
t65	0.019	-0.118	-0.404	1.638	1.522	1.829	-0.11	0.211	0.668	0.072	-2.154	0.235	-1.225	-0.908	2.073	0.063	0.69	0.265	0.272	-1.108	0.335	-0.688	-0.056	0.73	-0.163	-0.638	0.295	-0.172	0.489	-3.662
t71	-0.648	1.15	0.399	0.95	-0.243	-1.977	1.096	1.513	-1.837	0.86	-1.449	-0.758	0.817	-1.225	0.061	-0.798	0.41	1.399	-0.265	-1.403	-0.054	1.326	-1.264	0.446	0.516	-0.943	0.053	0.793	0.494	0.58
