sample-id	species	gutregion
BRA9743M	Episesarma_versicolor	M
BRA9744F	Episesarma_versicolor	F
BRA9744H	Episesarma_versicolor	H
BRA9744M	Episesarma_versicolor	M
BRA9751F	Episesarma_versicolor	F
BRA9751M	Episesarma_versicolor	M
BRA9761F	Episesarma_singaporense	F
BRA9761H	Episesarma_singaporense	H
BRA9761M	Episesarma_singaporense	M
BRA9762H	Episesarma_singaporense	H
BRA9762M	Episesarma_singaporense	M
BRA9771F	Episesarma_singaporense	F
BRA9771H	Episesarma_singaporense	H
BRA9771M	Episesarma_singaporense	M
BRA9772F	Episesarma_singaporense	F
BRA9772H	Episesarma_singaporense	H
BRA9772M	Episesarma_singaporense	M
BRA9773F	Episesarma_singaporense	F
BRA9773H	Episesarma_singaporense	H
BRA9773M	Episesarma_singaporense	M
BRA9781H	Episesarma_mederi	H
BRA9782H	Episesarma_mederi	H
BRA9783F	Episesarma_mederi	F
BRA9783H	Episesarma_mederi	H
BRA9783M	Episesarma_mederi	M
BRA9791H	Episesarma_mederi	H
BRA9791M	Episesarma_mederi	M
BRA9792F	Episesarma_mederi	F
BRA9792H	Episesarma_mederi	H
BRA9792M	Episesarma_mederi	M
BRA9793F	Episesarma_mederi	F
BRA9793H	Episesarma_mederi	H
BRA9793M	Episesarma_mederi	M
BRA9811F	Episesarma_chentongense	F
BRA9811H	Episesarma_chentongense	H
BRA9811M	Episesarma_chentongense	M
BRA9812F	Episesarma_chentongense	F
BRA9812H	Episesarma_chentongense	H
BRA9812M	Episesarma_chentongense	M
BRA9813F	Episesarma_chentongense	F
BRA9813H	Episesarma_chentongense	H
BRA9813M	Episesarma_chentongense	M
BRA9841F	Parasesarma_eumolpe	F
BRA9841H	Parasesarma_eumolpe	H
BRA9841M	Parasesarma_eumolpe	M
BRA9851H	Parasesarma_peninsulare	H
BRA9852F	Parasesarma_peninsulare	F
BRA9852H	Parasesarma_peninsulare	H
BRA9852M	Parasesarma_peninsulare	M
BRA9855H	Parasesarma_peninsulare	H
BRA9861H	Neosarmatium_smithi	H
BRA9872H	Neosarmatium_smithi	H
BRA9872M	Neosarmatium_smithi	M
BRA9873H	Neosarmatium_smithi	H
BRA9873M	Neosarmatium_smithi	M
