Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Regulus_satrapa	0.032	0.123	0.026	0.64	0.015	0.064	0.009	0.006	0.001	0.041	0.035	0.003	0.004	0
Artamus_leucorhynchus	0.001	0.001	0.01	0.023	0	0.808	0	0	0.059	0.09	0.004	0.004	0.002	0
Batis_capensis	0.067	0.015	0.095	0.061	0	0.209	0.003	0.059	0.003	0.183	0.026	0.16	0.051	0.07
Dryoscopus_cubla	0.024	0.007	0.005	0.191	0	0.589	0	0.028	0	0.073	0	0.077	0.006	0
Laniarius_ferrugineus	0.179	0.002	0.031	0.156	0	0.415	0	0.066	0	0.062	0	0.083	0.006	0
Coracina_striata	0.005	0	0.003	0.02	0	0.389	0.001	0	0.488	0.094	0	0	0	0
Coracina_pectoralis	0.043	0.005	0.071	0.007	0.001	0.712	0.007	0.022	0	0.044	0.002	0.073	0.013	0
Corvus_corax	0.11	0.022	0.029	0.204	0.003	0.189	0.004	0.002	0.019	0.258	0.01	0.08	0.058	0.012
Corvus_splendens	0	0	0.016	0.357	0	0.291	0	0	0.271	0.061	0	0	0	0.003
Lanius_excubitor	0.061	0.123	0.084	0.462	0.04	0.188	0.003	0.007	0	0.014	0.001	0.003	0.014	0.001
Lanius_cristatus	0.07	0	0.002	0.006	0	0.041	0.245	0.001	0.001	0.626	0	0.007	0.001	0
Lanius_collurio	0.062	0.059	0.074	0.095	0.003	0.403	0	0.094	0	0.061	0.001	0.113	0.035	0
Rhipidura_javanica	0.015	0	0.022	0.065	0	0.218	0.032	0.001	0.001	0.249	0	0.014	0.002	0.38
Dicrurus_hottentottus	0.001	0.003	0.003	0	0	0.986	0	0	0	0.002	0	0	0	0.005
Pachycephala_philippinensis	0.008	0.003	0.018	0.202	0	0.167	0.004	0.002	0	0.586	0	0.005	0.003	0
Prosthemadera_novaeseelandiae	0.005	0.004	0	0.023	0	0.73	0	0	0.033	0.055	0	0.148	0	0
Gerygone_sulphurea	0.006	0.001	0.02	0.049	0	0.114	0.346	0	0.037	0.313	0	0.113	0.002	0
Philydor_fuscipenne	0.014	0.061	0.001	0.06	0.116	0.549	0.034	0	0.001	0.013	0.121	0.002	0.031	0
Xenops_minutus	0.482	0	0.001	0.001	0	0.496	0.013	0	0.001	0.003	0	0.002	0	0.001
Xiphorhynchus_susurrans	0.02	0.026	0.002	0.59	0.002	0.318	0	0	0	0.008	0.003	0.001	0.031	0
Glyphorynchus_spirurus	0.025	0.036	0.009	0.474	0.001	0.336	0.004	0.006	0.006	0.004	0.01	0.004	0.086	0.001
Sclerurus_guatemalensis	0.001	0.067	0	0.206	0.003	0.422	0.249	0.001	0.004	0.023	0.012	0	0.007	0.004
Taraba_major	0.014	0.018	0.058	0.303	0	0.501	0	0.001	0	0.086	0	0.001	0.017	0.001
Thamnophilus_atrinucha	0.001	0	0.001	0.452	0	0.537	0	0	0	0.003	0.002	0.001	0.002	0.001
Gymnocichla_nudiceps	0.004	0.023	0.003	0.028	0.001	0.472	0	0.001	0	0.456	0	0.004	0.006	0
Myrmeciza_exsul	0.015	0.003	0.001	0.01	0.019	0.63	0.244	0.004	0	0.041	0.019	0.003	0.01	0.001
Empidonax_alnorum	0.108	0	0.034	0.011	0	0.049	0	0.016	0.001	0.678	0.001	0.069	0.033	0.001
Myiarchus_crinitus	0.005	0.001	0	0.005	0	0.27	0	0.015	0	0.376	0.002	0.006	0.045	0.275
Myiarchus_tuberculifer	0.045	0.001	0.017	0.002	0	0.656	0	0.001	0	0.116	0	0.022	0.14	0
Myiodynastes_maculatus	0.017	0.157	0.008	0.112	0.025	0.542	0	0.003	0.006	0.113	0.001	0.015	0.002	0
Elaenia_frantzii	0.037	0.002	0.031	0.037	0	0.042	0.002	0.018	0	0.706	0	0.085	0.04	0
Mionectes_oleagineus	0.151	0.002	0.239	0.033	0	0.021	0	0.035	0	0.454	0.001	0.02	0.045	0
Onychorhynchus_coronatus	0.069	0.013	0.008	0.067	0	0.629	0.008	0.005	0.001	0.013	0	0.181	0.006	0
Chiroxiphia_lanceolata	0.007	0.001	0.014	0.002	0	0.003	0.002	0.001	0	0.961	0	0.003	0.006	0
Loriculus_philippensis	0	0	0	0.016	0	0.108	0	0	0.017	0.858	0	0.001	0	0.001
Cyanoramphus_unicolor	0.009	0.127	0.139	0.061	0.006	0.208	0	0.004	0	0.132	0	0.293	0.019	0
Trichoglossus_haematodus	0.002	0	0.001	0.004	0	0.949	0	0	0	0.014	0.003	0.026	0.001	0
Melopsittacus_undulatus	0.005	0.002	0	0.001	0	0.518	0.002	0.004	0.192	0.007	0	0.002	0.002	0.264
Alisterus_scapularis	0.008	0.006	0.004	0.063	0.015	0.849	0.002	0.007	0	0.016	0.002	0.02	0.008	0
Ara_chloropterus	0.042	0.003	0.04	0.509	0	0.242	0.001	0.005	0	0.082	0.005	0.001	0.07	0
Psittacus_erithacus	0.109	0.038	0.003	0.071	0.026	0.449	0.095	0.001	0.02	0.136	0	0.009	0.001	0.041
Cacatua_galerita	0.041	0.014	0.004	0.015	0.001	0.026	0.004	0.056	0	0.005	0.001	0.822	0.011	0
Nestor_meridionalis	0.097	0.017	0.052	0.054	0.008	0.448	0.001	0.004	0.002	0.079	0.011	0.222	0.004	0
Nestor_notabilis	0.008	0.01	0.016	0.018	0.004	0.409	0	0.001	0	0.117	0.003	0.412	0.002	0
Strigops_habroptilus	0	0.022	0	0.061	0	0.189	0	0	0	0.725	0	0.001	0	0
Falco_subbuteo	0.006	0	0.001	0.961	0.001	0.03	0	0	0	0	0	0.002	0	0
Falco_peregrinus	0.075	0	0.006	0.245	0.001	0.456	0	0.001	0	0.214	0	0.002	0	0
Cariama_cristata	0.003	0.132	0.025	0.484	0.137	0.024	0.056	0.006	0	0.131	0	0.001	0.001	0
Accipiter_cooperii	0.055	0.001	0.006	0.371	0	0.037	0.001	0	0	0.489	0	0.001	0	0.038
Circus_cyaneus	0.143	0.031	0.01	0.064	0	0.151	0.005	0.014	0.002	0.3	0.011	0.041	0.001	0.227
