feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t55	0.314	-0.402	0.756	-0.503	0.264	-1.78	1.181	0.504	-0.31	-1.475	-0.19	-0.483	-0.096	1.222	1.151	1.109	0.751	1.041	0.299	0.166	-0.352	0.009	0.5	-0.218	0.883	-1.43	-0.611	-1.124	-1.408	0.231
t4	0.463	-0.599	0.744	-0.536	0.267	-1.444	1.752	0.46	-0.278	-1.509	-0.196	-0.571	-0.176	0.939	1.01	1.173	1.097	0.337	0.642	-0.255	-0.317	-0.009	0.493	-0.174	0.964	-1.579	-0.674	-1.053	-1.435	0.458
t79	-0.031	-0.89	0.683	-0.473	0.725	-1.904	1.526	1.183	-0.076	-1.952	-0.155	-0.473	0.433	0.59	1.66	0.762	0.96	1.33	0.427	0.225	-0.943	0.022	0.507	-0.259	0.884	-1.325	-1.317	-1.286	-1.279	0.439
t178	0.485	-0.447	0.718	-0.567	0.153	-1.528	1.652	0.397	-0.338	-1.501	-0.126	-0.643	-0.178	1.104	0.902	1.42	1.09	0.348	0.592	-0.241	-0.161	-0.007	0.488	-0.204	0.951	-1.595	-0.531	-1.054	-1.535	0.355
t195	0.545	-0.691	0.675	-0.453	0.425	-1.569	1.369	0.682	-0.281	-1.434	-0.713	-0.374	0.023	1.048	1.206	0.989	0.608	0.961	0.452	0.065	-0.537	0.021	0.526	-0.055	0.832	-1.354	-0.859	-1.188	-1.338	0.422
t166	0.577	-0.43	0.584	-0.489	0.306	-1.474	1.34	0.282	-0.411	-1.168	-0.347	-0.409	-0.333	1.255	1	1.22	0.607	0.714	0.527	-0.12	-0.409	-0.01	0.512	-0.111	0.903	-1.407	-0.547	-1.153	-1.278	0.262
t140	0.647	-0.331	0.734	-0.595	-0.054	-1.492	1.449	0.065	-0.445	-1.239	-0.155	-0.652	-0.454	1.399	0.721	1.769	0.959	0.249	0.555	-0.269	0.153	-0.008	0.485	-0.207	0.964	-1.606	-0.168	-0.992	-1.65	0.165
t128	0.31	-0.688	0.501	-0.486	0.605	-1.544	1.559	0.797	-0.166	-1.454	-0.018	-0.56	0.006	0.74	1.406	0.597	0.657	0.851	0.681	-0.053	-1.001	-0.024	0.508	-0.102	0.79	-1.233	-1.082	-1.284	-1.156	0.837
t66	0.484	-0.499	0.736	-0.526	0.267	-1.466	1.714	0.147	-0.418	-1.338	-0.524	-0.354	-0.199	1.197	0.764	1.584	0.973	0.381	0.645	-0.344	-0.159	-0.028	0.494	-0.168	1.091	-1.61	-0.483	-1.11	-1.39	0.132
t11	0.375	-0.554	0.641	-0.518	0.326	-1.57	1.415	0.623	-0.253	-1.474	-0.12	-0.594	-0.124	0.997	1.223	1.03	0.822	0.779	0.504	-0.012	-0.501	0.006	0.503	-0.182	0.855	-1.382	-0.762	-1.158	-1.365	0.467
t49	0.905	-0.448	0.575	-0.411	0.25	-0.946	1.182	0.551	-0.354	-1.057	-1.33	-0.296	-0.312	1.246	1.158	0.775	0.426	0.78	0.393	-0.034	-0.42	0.06	0.549	0.1	0.688	-1.288	-0.761	-1.17	-1.24	0.425
t176	0.459	-0.997	0.437	-0.303	0.871	-1.465	1.175	1.532	-0.052	-1.523	-1.089	-0.336	0.316	0.656	1.836	0.154	0.168	1.667	0.416	0.358	-1.341	0.081	0.58	0.071	0.584	-0.858	-1.672	-1.466	-1.001	0.734
t90	0.365	-0.603	0.615	-0.487	0.43	-1.654	1.297	0.775	-0.193	-1.51	-0.143	-0.544	-0.02	0.909	1.4	0.73	0.675	1.032	0.444	0.145	-0.707	0.012	0.511	-0.136	0.766	-1.307	-0.914	-1.193	-1.309	0.614
t21	0.447	-0.24	0.675	-0.614	0.004	-1.335	1.652	0.389	-0.341	-1.47	0.446	-0.899	-0.45	1.108	0.959	1.285	1.285	0.089	0.598	-0.319	-0.125	-0.007	0.47	-0.292	0.895	-1.648	-0.445	-0.97	-1.565	0.412
t184	0.511	-0.115	0.764	-0.697	-0.167	-1.251	1.964	-0.155	-0.461	-1.366	0.477	-0.846	-0.625	1.204	0.544	1.801	1.603	-0.484	0.753	-0.663	0.233	-0.048	0.443	-0.342	1.1	-1.917	-0.036	-0.856	-1.642	0.267
t198	0.467	-0.404	0.834	-0.492	0.239	-1.432	1.2	0.605	-0.326	-1.428	-0.932	-0.34	0.005	1.186	1.141	0.936	0.78	0.983	0.195	0.172	-0.309	0.045	0.515	-0.101	0.815	-1.416	-0.716	-1.109	-1.349	0.23
