captive	diet	realm	flight
Chloroceryle_aenea	wild	Meat	Neotropic	flighted
Setophaga_ruticilla	wild	Invertebrates	Nearctic	flighted
Phapitreron_amethystinus	wild	Fruits	Oriental	flighted
Seicercus_borealis	wild	Invertebrates	Nearctic	flighted
Aplonis_panayensis	wild	Fruits	Oriental	flighted
Icterus_galbula	wild	Invertebrates	Neotropic	flighted
Coracina_striata	wild	Invertebrates	Oriental	flighted
Limosa_lapponica	wild	Invertebrates	Nearctic	flighted
Gymnocichla_nudiceps	wild	Invertebrates	Neotropic	flighted
Turnix_suscitator	wild	Plants	Oriental	flighted
Gallirallus_torquatus	wild	Invertebrates	Oriental	flighted
Coragyps_atratus	wild	Meat	Nearctic	flighted
Pluvialis_squatarola	wild	Invertebrates	Nearctic	flighted
Thamnophilus_atrinucha	wild	Invertebrates	Neotropic	flighted
Trogon_rufus	wild	Invertebrates	Neotropic	flighted
Metriopelia_melanoptera	wild	Fruits	Neotropic	flighted
Claravis_pretiosa	wild	Plants	Neotropic	flighted
Bombycilla_garrulus	wild	Fruits	Nearctic	flighted
Haliastur_indus	wild	Meat	Oriental	flighted
Fringilla_montifringilla	wild	Fruits	Nearctic	flighted
Amazonetta_brasiliensis	wild	Fruits	Neotropic	flighted
Certhia_americana	wild	Invertebrates	Nearctic	flighted
Lanius_cristatus	wild	Invertebrates	Oriental	flighted
Branta_canadensis	wild	Plants	Nearctic	flighted
Myrmeciza_exsul	wild	Invertebrates	Neotropic	flighted
Phaenicophaeus_curvirostris	wild	Invertebrates	Oriental	flighted
Hypocryptadius_cinnamomeus	wild	Invertebrates	Oriental	flighted
Xiphorhynchus_susurrans	wild	Invertebrates	Neotropic	flighted
Somateria_mollissima	wild	Invertebrates	Nearctic	flighted
Bucephala_clangula	wild	Invertebrates	Nearctic	flighted
Passer_griseus	wild	Plants	Afrotropical	flighted
Gavia_immer	wild	Meat	Nearctic	flighted
Tringa_totanus	wild	Invertebrates	Oriental	flighted
Actitis_hypoleucos	wild	Invertebrates	Nearctic	flighted
Gallinago_gallinago	wild	Invertebrates	Nearctic	flighted
Sterna_hirundo	wild	Meat	Oriental	flighted
Accipiter_cooperii	wild	Meat	Nearctic	flighted
Myiarchus_tuberculifer	wild	Invertebrates	Neotropic	flighted
Zenaida_auriculata	wild	Plants	Neotropic	flighted
Motacilla_tschutschensis	wild	Invertebrates	Nearctic	flighted
Falco_subbuteo	wild	Invertebrates	Afrotropical	flighted
Turdus_obscurus	wild	Fruits	Nearctic	flighted
Tachyeres_patachonicus	wild	Invertebrates	Neotropic	flighted
Euphonia_fulvicrissa	wild	Fruits	Neotropic	flighted
Larus_hyperboreus	wild	Meat	Nearctic	flighted
Collocalia_esculenta	wild	Invertebrates	Oriental	flighted
Gerygone_sulphurea	wild	Invertebrates	Oriental	flighted
Regulus_satrapa	wild	Invertebrates	Nearctic	flighted
Nonnula_frontalis	wild	Invertebrates	Neotropic	flighted
Tringa_brevipes	wild	Invertebrates	Nearctic	flighted
Taraba_major	wild	Invertebrates	Neotropic	flighted
Ardea_herodias	wild	Meat	Nearctic	flighted
Fregata_minor	wild	Meat	Oriental	flighted
Anas_crecca	wild	Plants	Nearctic	flighted
Crotophaga_sulcirostris	wild	Invertebrates	Neotropic	flighted
Dicrurus_hottentottus	wild	Invertebrates	Oriental	flighted
Picoides_villosus	wild	Invertebrates	Nearctic	flighted
Histrionicus_histrionicus	wild	Invertebrates	Nearctic	flighted
Batrachostomus_javensis	wild	Invertebrates	Oriental	flighted
Corvus_splendens	wild	Meat	Oriental	flighted
Eumyias_panayensis	wild	Invertebrates	Oriental	flighted
Larus_dominicanus	wild	Meat	Antarctic	flighted
Calcarius_lapponicus	wild	Plants	Nearctic	flighted
Caprimulgus_macrurus	wild	Invertebrates	Oriental	flighted
Phoebastria_immutabilis	wild	Invertebrates	Nearctic	flighted
Charadrius_mongolus	wild	Invertebrates	Nearctic	flighted
Limnodromus_scolopaceus	wild	Invertebrates	Nearctic	flighted
Larus_canus	wild	Meat	Nearctic	flighted
Elaenia_frantzii	wild	Fruits	Neotropic	flighted
Fulmarus_glacialis	wild	Meat	Nearctic	flighted
Morus_bassanus	wild	Meat	Nearctic	flighted
Circus_cyaneus	wild	Meat	Nearctic	flighted
Surnia_ulula	wild	Meat	Nearctic	flighted
Aegolius_acadicus	wild	Meat	Nearctic	flighted
Lanius_excubitor	wild	Meat	Nearctic	flighted
Parkesia_noveboracensis	wild	Invertebrates	Nearctic	flighted
Oenanthe_oenanthe	wild	Invertebrates	Nearctic	flighted
Mionectes_oleagineus	wild	Fruits	Neotropic	flighted
Dicaeum_trigonostigma	wild	Fruits	Oriental	flighted
Ceyx_erithaca	wild	Invertebrates	Oriental	flighted
Pluvialis_fulva	wild	Invertebrates	Nearctic	flighted
Troglodytes_pacificus	wild	Invertebrates	Nearctic	flighted
Urile_pelagicus	wild	Meat	Nearctic	flighted
Falco_peregrinus	wild	Meat	Nearctic	flighted
Ixos_philippinus	wild	Fruits	Oriental	flighted
Loriculus_philippensis	wild	Fruits	Oriental	flighted
Copsychus_mindanensis	wild	Invertebrates	Oriental	flighted
Rhipidura_javanica	wild	Invertebrates	Oriental	flighted
Pinicola_enucleator	wild	Plants	Nearctic	flighted
Xenops_minutus	wild	Invertebrates	Neotropic	flighted
Cacomantis_merulinus	wild	Invertebrates	Oriental	flighted
Gallus_gallus	wild	Plants	Oriental	flighted
Mergus_serrator	wild	Meat	Nearctic	flighted
Sitta_canadensis	wild	Plants	Nearctic	flighted
Sphyrapicus_ruber	wild	Invertebrates	Nearctic	flighted
Urile_urile	wild	Invertebrates	Nearctic	flighted
Fulica_armillata	wild	Plants	Neotropic	flighted
Recurvirostra_novaehollandiae	wild	Invertebrates	Australasian	flighted
Calidris_ruficollis	wild	Invertebrates	Nearctic	flighted
Habia_fuscicauda	wild	Invertebrates	Neotropic	flighted
Columba_livia	wild	Plants	Afrotropical	flighted
Lagopus_muta	wild	Plants	Nearctic	flighted
Calidris_ptilocnemis	wild	Invertebrates	Nearctic	flighted
Rhodostethia_rosea	wild	Invertebrates	Nearctic	flighted
Netta_peposaca	wild	Plants	Neotropic	flighted
Buteo_lagopus	wild	Meat	Nearctic	flighted
Onychorhynchus_coronatus	wild	Invertebrates	Neotropic	flighted
Oxyura_jamaicensis	wild	Invertebrates	Neotropic	flighted
Halcyon_coromanda	wild	Invertebrates	Oriental	flighted
Arenaria_interpres	wild	Invertebrates	Nearctic	flighted
Calidris_pugnax	wild	Invertebrates	Nearctic	flighted
Bonasa_umbellus	wild	Plants	Nearctic	flighted
Centropus_unirufus	wild	Invertebrates	Oriental	flighted
Buceros_hydrocorax	wild	Fruits	Oriental	flighted
Amazilia_tzacatl	wild	Fruits	Neotropic	flighted
Emberiza_rutila	wild	Invertebrates	Nearctic	flighted
Thalasseus_sandvicensis	wild	Meat	Neotropic	flighted
Sclerurus_guatemalensis	wild	Invertebrates	Neotropic	flighted
Calidris_pusilla	wild	Invertebrates	Nearctic	flighted
Alauda_arvensis	wild	Plants	Nearctic	flighted
Trogon_massena	wild	Fruits	Neotropic	flighted
Philydor_fuscipenne	wild	Invertebrates	Neotropic	flighted
Plectrophenax_nivalis	wild	Plants	Nearctic	flighted
Anser_caerulescens	wild	Plants	Nearctic	flighted
Melospiza_melodia	wild	Invertebrates	Nearctic	flighted
Dendragapus_fuliginosus	wild	Plants	Nearctic	flighted
Ploceus_velatus	wild	Plants	Afrotropical	flighted
Chauna_torquata	wild	Plants	Neotropic	flighted
Anas_flavirostris	wild	Plants	Neotropic	flighted
Streptopelia_chinensis	wild	Plants	Oriental	flighted
Nothura_maculosa	wild	Invertebrates	Neotropic	flighted
Actitis_macularia	wild	Invertebrates	Nearctic	flighted
Myiodynastes_maculatus	wild	Invertebrates	Neotropic	flighted
Megalurus_palustris	wild	Invertebrates	Oriental	flighted
Butorides_striata	wild	Meat	Oriental	flighted
Macronous_striaticeps	wild	Invertebrates	Oriental	flighted
Catharus_ustulatus	wild	Invertebrates	Neotropic	flighted
Xenus_cinereus	wild	Invertebrates	Nearctic	flighted
Merganetta_armata	wild	Invertebrates	Neotropic	flighted
Cygnus_buccinator	wild	Plants	Nearctic	flighted
Aythya_fuligula	wild	Invertebrates	Nearctic	flighted
Fratercula_cirrhata	wild	Meat	Nearctic	flighted
Chloephaga_picta	wild	Plants	Neotropic	flighted
Sitta_frontalis	wild	Invertebrates	Oriental	flighted
Glyphorynchus_spirurus	wild	Invertebrates	Neotropic	flighted
Calidris_mauri	wild	Invertebrates	Neotropic	flighted
Numenius_phaeopus	wild	Invertebrates	Nearctic	flighted
Aethia_pygmaea	wild	Invertebrates	Nearctic	flighted
Lonchura_leucogastra	wild	Plants	Oriental	flighted
Amaurornis_phoenicurus	wild	Plants	Oriental	flighted
Henicorhina_leucosticta	wild	Invertebrates	Neotropic	flighted
Artamus_leucorhynchus	wild	Invertebrates	Oriental	flighted
Leptotila_verreauxi	wild	Plants	Neotropic	flighted
Rollandia_rolland	wild	Meat	Neotropic	flighted
Malacoptila_panamensis	wild	Invertebrates	Neotropic	flighted
Loxia_leucoptera	wild	Plants	Nearctic	flighted
Tringa_semipalmata	wild	Invertebrates	Nearctic	flighted
Lagopus_lagopus	wild	Plants	Nearctic	flighted
Tringa_glareola	wild	Invertebrates	Nearctic	flighted
Pachycephala_philippinensis	wild	Invertebrates	Oriental	flighted
Amblycercus_holosericeus	wild	Invertebrates	Neotropic	flighted
Chloropsis_palawanensis	wild	Invertebrates	Oriental	flighted
Pycnonotus_goiavier	wild	Fruits	Oriental	flighted
Eulemur_rufus	captive	Plants	Palearctic	flightless
Tapirus_terrestris	captive	Plants	Palearctic	flightless
Ursus_americanus	wild	Fruits	Nearctic	flightless
Sarkidiornis_melanotos	wild	Plants	Afrotropical	flighted
Tockus_nasutus	wild	Invertebrates	Afrotropical	flighted
Caprimulgus_pectoralis	wild	Invertebrates	Afrotropical	flighted
Glareola_pratincola	wild	Invertebrates	Afrotropical	flighted
Streptopelia_capicola	wild	Plants	Afrotropical	flighted
Treron_calvus	wild	Fruits	Afrotropical	flighted
Ceyx_pictus	wild	Invertebrates	Afrotropical	flighted
